company,sector,year,role,speaker,language,confidence,wordcount,filename
Allianz,Versicherungen,2022,ceo,Oliver Bäte,de,high,3447,Allianz/2022/de-rede-baete-hv-2022.pdf
Allianz,Versicherungen,2022,ar,Michael Diekmann,de,high,3323,Allianz/2022/de-rede-diekmann-hv-2022.pdf
Allianz,Versicherungen,2023,ceo,Oliver Bäte,de,high,4026,Allianz/2023/de-rede-baete-hv-2023.pdf
Allianz,Versicherungen,2023,ar,Michael Diekmann,de,high,4069,Allianz/2023/de-rede-diekmann-hv-2023.pdf
Allianz,Versicherungen,2024,ceo,Oliver Bäte,de,high,3492,Allianz/2024/de-rede-baete-hv-2024.pdf
Allianz,Versicherungen,2024,ar,Michael Diekmann,de,high,2355,Allianz/2024/de-rede-diekmann-hv-2024.pdf
Allianz,Versicherungen,2025,ceo,Oliver Bäte,de,high,4033,Allianz/2025/de-rede-baete-hv-2025.pdf
Allianz,Versicherungen,2025,ar,Michael Diekmann,de,high,2426,Allianz/2025/de-rede-diekmann-hv-2025.pdf
BASF,Chemie,2022,ceo,Martin Brudermüller,de,high,4407,BASF/2022/BASF_HV-Rede-2022.pdf
BASF,Chemie,2023,ceo,Martin Brudermüller,de,high,4524,BASF/2023/BASF-HV-2023-Rede.pdf
BASF,Chemie,2024,ceo,Markus Kamieth,de,high,4833,BASF/2024/BASF-HV-2024-Rede.pdf
BASF,Chemie,2025,ceo,Markus Kamieth,de,high,4216,BASF/2025/BASF-HV-2025-Rede.pdf
BMW,Automobil,2022,ceo,Oliver Zipse,de,high,3946,BMW/2022/2022_CEO.pdf
BMW,Automobil,2022,ar,Norbert Reithofer,de,high,1109,BMW/2022/2022_ARV.pdf
BMW,Automobil,2023,ceo,Oliver Zipse,de,high,4817,BMW/2023/2023_CEO.pdf
BMW,Automobil,2023,ar,Norbert Reithofer,de,high,907,BMW/2023/2023_ARV.pdf
BMW,Automobil,2024,ceo,Oliver Zipse,de,high,4055,BMW/2024/2024_CEO.pdf
