company,sector,year,group,count_raw,count_norm,wordcount
Allianz,Versicherungen,2022,Daten/Data,0,0.0,3446
Allianz,Versicherungen,2022,KI/AI,0,0.0,3446
Allianz,Versicherungen,2023,Daten/Data,0,0.0,8100
Allianz,Versicherungen,2023,KI/AI,0,0.0,8100
Allianz,Versicherungen,2024,Daten/Data,3,0.42905,5851
Allianz,Versicherungen,2024,KI/AI,3,0.42905,5851
Allianz,Versicherungen,2025,Daten/Data,0,0.0,6467
Allianz,Versicherungen,2025,KI/AI,0,0.0,6467
BASF,Chemie,2022,Daten/Data,0,0.0,4443
BASF,Chemie,2022,KI/AI,0,0.0,4443
BASF,Chemie,2023,Daten/Data,0,0.0,4555
BASF,Chemie,2023,KI/AI,0,0.0,4555
BASF,Chemie,2024,Daten/Data,0,0.0,4854
BASF,Chemie,2024,KI/AI,0,0.0,4854
BASF,Chemie,2025,Daten/Data,0,0.0,4219
BASF,Chemie,2025,KI/AI,5,1.1851,4219
BMW,Automobil,2022,Daten/Data,0,0.0,5027
BMW,Automobil,2022,KI/AI,0,0.0,5027
BMW,Automobil,2023,Daten/Data,0,0.0,5703
BMW,Automobil,2023,KI/AI,1,0.10425,5703
BMW,Automobil,2024,Daten/Data,2,0.61615,5077
BMW,Automobil,2024,KI/AI,1,0.12305,5077
BMW,Automobil,2025,Daten/Data,1,0.11535,5551
BMW,Automobil,2025,KI/AI,6,0.9877,5551
Bayer,Chemie & Pharma,2022,Daten/Data,1,0.11895,6894
Bayer,Chemie & Pharma,2022,KI/AI,0,0.0,6894
Bayer,Chemie & Pharma,2023,Daten/Data,0,0.0,6266
Bayer,Chemie & Pharma,2023,KI/AI,0,0.0,6266
Bayer,Chemie & Pharma,2024,Daten/Data,1,0.1593,5135
Bayer,Chemie & Pharma,2024,KI/AI,1,0.1593,5135
Bayer,Chemie & Pharma,2025,Daten/Data,0,0.0,5520
Bayer,Chemie & Pharma,2025,KI/AI,0,0.0,5520
Beiersdorf,Konsumgüter,2022,Daten/Data,0,0.0,2789
Beiersdorf,Konsumgüter,2022,KI/AI,0,0.0,2789
Beiersdorf,Konsumgüter,2023,Daten/Data,0,0.0,2675
Beiersdorf,Konsumgüter,2023,KI/AI,0,0.0,2675
Beiersdorf,Konsumgüter,2024,Daten/Data,0,0.0,2331
Beiersdorf,Konsumgüter,2024,KI/AI,0,0.0,2331
Beiersdorf,Konsumgüter,2025,Daten/Data,0,0.0,2747
Beiersdorf,Konsumgüter,2025,KI/AI,0,0.0,2747
Brenntag,Chemie,2022,Daten/Data,0,0.0,7013
Brenntag,Chemie,2022,KI/AI,0,0.0,7013
Brenntag,Chemie,2023,Daten/Data,3,0.33465,4594
Brenntag,Chemie,2023,KI/AI,0,0.0,4594
Brenntag,Chemie,2024,Daten/Data,3,0.35935,4174
Brenntag,Chemie,2024,KI/AI,1,0.1198,4174
Brenntag,Chemie,2025,Daten/Data,4,0.509,7958
Brenntag,Chemie,2025,KI/AI,3,0.37415,7958
Commerzbank,Banken,2022,Daten/Data,0,0.0,4058
Commerzbank,Banken,2022,KI/AI,0,0.0,4058
Commerzbank,Banken,2023,Daten/Data,0,0.0,4563
Commerzbank,Banken,2023,KI/AI,0,0.0,4563
Commerzbank,Banken,2024,Daten/Data,0,0.0,4931
Commerzbank,Banken,2024,KI/AI,2,0.2475,4931
Commerzbank,Banken,2025,Daten/Data,0,0.0,5119
Commerzbank,Banken,2025,KI/AI,13,1.5543,5119
Continental,Automobil,2022,Daten/Data,2,0.2768,6734
Continental,Automobil,2022,KI/AI,1,0.1384,6734
Continental,Automobil,2023,Daten/Data,1,0.1471,6756
Continental,Automobil,2023,KI/AI,1,0.1471,6756
Continental,Automobil,2024,Daten/Data,1,0.1663,6790
Continental,Automobil,2024,KI/AI,0,0.0,6790
Continental,Automobil,2025,Daten/Data,0,0.0,6875
Continental,Automobil,2025,KI/AI,1,0.1644,6875
DHL,Logistik,2022,Daten/Data,2,0.4753,4208
