company,sector,year,role,language,wordcount,group,count_raw,count_norm
Allianz,Versicherungen,2022,ceo,de,3446,KI/AI,0,0.0
Allianz,Versicherungen,2022,ceo,de,3446,Daten/Data,0,0.0
Allianz,Versicherungen,2022,ar,de,0,KI/AI,0,0.0
Allianz,Versicherungen,2022,ar,de,0,Daten/Data,0,0.0
Allianz,Versicherungen,2023,ceo,de,4031,KI/AI,0,0.0
Allianz,Versicherungen,2023,ceo,de,4031,Daten/Data,0,0.0
Allianz,Versicherungen,2023,ar,de,4069,KI/AI,0,0.0
Allianz,Versicherungen,2023,ar,de,4069,Daten/Data,0,0.0
Allianz,Versicherungen,2024,ceo,de,3496,KI/AI,3,0.8581
Allianz,Versicherungen,2024,ceo,de,3496,Daten/Data,3,0.8581
Allianz,Versicherungen,2024,ar,de,2355,KI/AI,0,0.0
Allianz,Versicherungen,2024,ar,de,2355,Daten/Data,0,0.0
Allianz,Versicherungen,2025,ceo,de,4041,KI/AI,0,0.0
Allianz,Versicherungen,2025,ceo,de,4041,Daten/Data,0,0.0
Allianz,Versicherungen,2025,ar,de,2426,KI/AI,0,0.0
Allianz,Versicherungen,2025,ar,de,2426,Daten/Data,0,0.0
BASF,Chemie,2022,ceo,de,4443,KI/AI,0,0.0
BASF,Chemie,2022,ceo,de,4443,Daten/Data,0,0.0
BASF,Chemie,2023,ceo,de,4555,KI/AI,0,0.0
BASF,Chemie,2023,ceo,de,4555,Daten/Data,0,0.0
BASF,Chemie,2024,ceo,de,4854,KI/AI,0,0.0
BASF,Chemie,2024,ceo,de,4854,Daten/Data,0,0.0
BASF,Chemie,2025,ceo,de,4219,KI/AI,5,1.1851
BASF,Chemie,2025,ceo,de,4219,Daten/Data,0,0.0
BMW,Automobil,2022,ceo,de,3915,KI/AI,0,0.0
BMW,Automobil,2022,ceo,de,3915,Daten/Data,0,0.0
BMW,Automobil,2022,ar,de,1112,KI/AI,0,0.0
BMW,Automobil,2022,ar,de,1112,Daten/Data,0,0.0
BMW,Automobil,2023,ceo,de,4797,KI/AI,1,0.2085
BMW,Automobil,2023,ceo,de,4797,Daten/Data,0,0.0
BMW,Automobil,2023,ar,de,906,KI/AI,0,0.0
BMW,Automobil,2023,ar,de,906,Daten/Data,0,0.0
BMW,Automobil,2024,ceo,de,4063,KI/AI,1,0.2461
BMW,Automobil,2024,ceo,de,4063,Daten/Data,1,0.2461
BMW,Automobil,2024,ar,de,1014,KI/AI,0,0.0
BMW,Automobil,2024,ar,de,1014,Daten/Data,1,0.9862
BMW,Automobil,2025,ceo,de,4334,KI/AI,5,1.1537
